Previous_qualification_grade,Admission_grade,Age_at_enrollment,Curricular_units_1st_sem_approved,Application_order,Application_mode,Debtor,Scholarship_holder,Tuition_fees_up_to_date,Daytime_evening_attendance,Gender,Displaced,Status
124.0,124.4,19,5,2,17,0,0,1,1,0,0,Graduate
133.1,126.0,19,6,1,17,0,1,1,1,0,0,Graduate
170.0,170.0,47,0,1,39,1,0,1,1,0,0,Enrolled
125.0,121.5,19,5,3,17,0,0,1,1,0,0,Graduate
130.0,130.0,29,7,1,39,0,0,1,1,0,0,Graduate
125.0,117.0,21,3,1,43,0,0,1,1,0,1,Dropout
130.0,130.0,28,4,1,39,0,0,1,1,0,1,Enrolled
133.1,108.0,20,7,2,17,0,0,1,1,0,0,Graduate
131.0,132.3,19,6,1,17,0,0,1,1,0,1,Graduate
150.0,148.0,26,3,1,42,0,0,1,0,0,0,Graduate
125.0,122.6,20,4,2,17,1,0,0,1,0,1,Dropout
131.0,123.0,18,3,1,1,0,1,1,1,0,1,Enrolled
130.0,102.5,27,5,1,39,0,0,1,1,0,0,Graduate
123.0,113.3,20,4,2,1,0,0,1,1,0,1,Dropout
141.0,133.0,18,5,5,1,0,0,1,1,0,1,Dropout
140.0,140.0,33,6,1,7,0,0,1,1,0,0,Dropout
140.0,128.3,35,21,1,43,0,0,1,1,0,1,Graduate
140.0,140.0,26,6,1,44,0,1,1,0,0,0,Enrolled
133.1,104.0,27,5,1,39,1,0,0,1,0,0,Dropout
131.0,122.3,19,6,3,18,0,0,0,1,0,1,Dropout
143.0,135.0,20,0,2,17,0,0,1,1,0,0,Dropout
132.0,119.1,20,3,2,18,1,0,0,1,0,1,Dropout
143.0,126.6,21,8,1,43,1,0,0,1,0,0,Enrolled
141.0,129.0,18,6,3,17,0,1,1,1,0,1,Graduate
133.1,162.3,24,2,1,39,0,0,1,1,0,1,Dropout
148.0,163.4,20,6,4,17,0,0,1,1,0,1,Graduate
125.0,121.5,21,6,1,1,0,1,1,1,0,0,Graduate
120.0,122.8,23,2,1,1,0,0,1,0,0,0,Enrolled
140.0,118.0,24,0,1,39,0,0,1,1,0,1,Dropout
139.0,134.0,21,0,1,51,0,0,1,1,0,0,Dropout
142.0,129.8,18,7,4,1,0,0,1,1,0,1,Graduate
130.0,152.0,27,0,1,39,0,0,1,0,0,1,Dropout
126.0,122.8,18,8,6,18,0,0,1,1,0,1,Graduate
150.0,150.0,35,0,1,7,0,0,1,1,0,0,Dropout
130.0,131.8,18,7,1,1,0,0,1,1,0,0,Graduate
120.0,105.9,35,3,1,39,0,0,1,1,0,0,Enrolled
138.0,132.1,19,4,1,1,0,0,1,1,0,1,Graduate
127.0,127.4,20,6,4,1,0,0,1,1,0,1,Graduate
140.0,129.5,18,7,4,1,0,0,1,1,0,1,Graduate
130.0,126.7,21,6,1,44,1,0,1,1,0,0,Graduate
128.0,116.5,18,5,2,17,0,1,1,1,0,0,Graduate
132.0,119.1,18,4,1,1,0,0,1,1,0,1,Graduate
149.0,126.5,18,7,2,1,0,0,1,1,0,1,Graduate
155.0,149.8,18,6,4,1,0,1,1,1,0,1,Graduate
120.0,115.1,19,6,1,1,0,0,1,1,0,1,Graduate
133.1,124.5,36,6,1,39,0,1,1,1,0,0,Dropout
131.0,128.3,18,7,2,1,0,1,1,1,0,1,Graduate
149.0,136.0,18,6,1,1,0,1,1,1,0,0,Graduate
140.0,140.0,20,6,1,43,0,1,1,1,0,1,Graduate
133.1,126.3,26,0,1,39,0,1,1,0,0,0,Dropout
122.0,126.9,21,6,1,43,0,0,1,1,0,0,Graduate
130.0,145.0,25,6,1,39,0,0,1,1,0,0,Enrolled
121.0,115.8,19,5,1,18,0,1,1,1,0,1,Graduate
120.0,100.0,24,1,1,39,0,0,1,0,0,1,Dropout
133.1,102.5,27,1,1,39,0,1,1,0,0,0,Dropout
121.0,131.5,21,0,1,17,0,0,1,1,0,0,Dropout
133.0,147.0,18,4,1,1,0,1,1,1,0,0,Graduate
134.0,122.5,19,6,4,1,0,1,1,1,0,0,Graduate
115.0,117.5,18,4,3,1,0,0,1,1,0,1,Dropout
127.0,150.0,19,5,1,51,0,1,1,1,0,0,Graduate
135.0,127.5,19,6,1,18,0,1,1,1,0,1,Graduate
140.0,140.0,33,6,1,7,0,0,1,0,0,0,Graduate
130.0,130.0,45,5,1,7,0,0,1,1,0,0,Graduate
135.0,133.3,20,6,1,1,0,1,1,1,0,0,Graduate
140.0,97.0,28,0,2,39,0,0,1,1,0,1,Dropout
120.0,112.0,19,7,1,43,0,1,1,1,0,1,Graduate
140.0,123.6,18,6,2,1,0,0,1,1,0,1,Graduate
133.1,130.5,38,0,1,39,0,0,1,1,0,0,Dropout
135.0,133.3,19,5,2,1,0,0,1,1,0,0,Graduate
123.0,132.1,21,5,1,1,0,1,1,1,0,0,Graduate
133.1,100.0,21,3,1,1,0,0,1,1,0,0,Dropout
154.0,140.4,22,5,1,1,0,1,1,1,0,0,Graduate
148.0,141.7,18,5,1,1,0,1,1,1,0,0,Graduate
133.0,119.7,18,6,2,17,0,1,1,1,0,0,Graduate
126.0,122.5,25,4,1,1,0,0,0,1,0,1,Dropout
133.1,140.0,24,3,1,39,1,0,0,1,0,0,Dropout
125.0,119.4,19,6,3,1,0,0,1,1,0,1,Enrolled
145.0,155.0,24,11,1,16,0,0,1,1,0,1,Enrolled
118.0,119.1,20,5,2,1,0,1,1,1,0,1,Graduate
120.0,122.7,25,0,1,39,0,0,0,1,0,0,Dropout
127.0,117.9,20,9,1,1,0,1,1,1,0,0,Graduate
130.0,130.0,23,8,1,7,0,0,1,1,0,0,Graduate
129.0,120.0,19,7,3,17,0,1,1,1,0,1,Graduate
130.0,130.0,29,3,1,44,1,0,0,1,0,0,Dropout
121.0,116.8,21,6,3,1,0,0,1,1,0,1,Graduate
136.0,123.4,18,6,1,1,0,1,1,1,0,1,Graduate
125.0,125.4,19,5,3,1,0,0,1,1,0,1,Enrolled
131.0,127.2,18,6,3,1,0,1,1,1,0,1,Dropout
122.0,103.4,19,5,1,1,0,0,1,1,0,0,Graduate
127.0,123.2,18,1,1,1,0,0,1,1,0,1,Enrolled
136.0,124.1,18,5,1,17,0,0,1,1,0,0,Graduate
133.1,99.5,37,1,1,39,1,1,0,1,0,1,Dropout
127.0,124.9,29,5,1,17,0,0,1,0,0,0,Graduate
116.0,110.8,18,6,3,17,0,0,1,1,0,0,Enrolled
121.0,118.9,19,5,1,1,0,1,1,1,0,1,Graduate
124.0,118.8,22,6,1,43,1,0,0,1,0,1,Dropout
131.0,137.0,20,6,1,1,0,1,1,1,0,0,Graduate
100.0,100.0,34,0,1,39,0,0,1,0,0,0,Dropout
130.0,120.0,30,8,1,43,1,0,0,1,0,0,Dropout
135.0,122.8,18,6,1,1,0,0,1,1,0,0,Graduate
130.0,121.6,18,6,1,1,0,0,1,1,0,0,Graduate
146.0,149.2,18,4,2,1,0,0,1,1,0,1,Graduate
146.0,140.0,18,7,4,17,0,0,1,1,0,1,Graduate
154.0,133.4,19,5,2,1,0,1,1,1,0,1,Graduate
137.0,126.2,19,6,1,1,0,1,1,1,0,1,Graduate
151.0,127.8,18,7,5,1,0,1,1,1,0,0,Graduate
150.0,150.0,21,6,1,44,0,1,1,1,0,0,Graduate
121.0,113.7,20,2,2,1,0,0,0,1,0,1,Dropout
122.0,117.8,20,5,1,17,0,0,1,1,0,1,Graduate
143.0,136.7,19,7,1,1,0,0,1,1,0,0,Graduate
152.0,144.7,20,6,1,1,0,0,1,1,0,0,Graduate
145.0,139.8,18,7,3,17,0,0,1,1,0,1,Graduate
120.0,113.7,20,5,1,42,0,0,1,1,0,0,Dropout
140.0,140.0,29,7,1,7,1,0,0,1,0,0,Dropout
143.0,142.3,18,7,1,1,0,1,1,1,0,0,Enrolled
129.0,119.6,20,7,1,1,0,1,1,1,0,1,Graduate
139.0,123.7,22,4,2,16,0,1,1,1,0,1,Graduate
133.1,143.0,47,5,1,1,0,1,1,0,0,1,Graduate
127.0,100.1,31,5,1,51,0,0,1,0,0,0,Graduate
126.0,119.4,21,5,1,1,0,1,1,1,0,0,Graduate
128.0,122.1,21,5,1,1,0,0,1,0,0,0,Graduate
100.0,100.0,24,6,1,39,0,0,1,1,0,0,Graduate
123.0,113.9,18,6,1,17,0,0,1,1,0,0,Enrolled
170.0,101.0,32,4,1,39,0,0,1,0,0,0,Graduate
117.0,111.8,19,6,2,18,0,1,1,0,0,1,Graduate
140.0,140.0,24,8,1,39,0,0,1,1,0,1,Graduate
123.0,124.4,19,6,4,17,0,0,1,1,0,1,Graduate
150.0,150.0,19,6,1,44,1,1,1,1,0,0,Graduate
140.0,140.0,24,6,1,44,0,0,1,1,0,0,Enrolled
123.0,116.0,18,6,4,17,0,1,1,1,0,1,Graduate
130.0,135.6,19,5,1,1,0,1,1,1,0,1,Dropout
137.0,121.0,19,7,1,1,0,1,1,1,0,0,Graduate
126.0,118.7,18,6,2,17,0,1,1,1,0,1,Graduate
125.0,125.7,18,6,1,1,0,0,1,1,0,1,Graduate
112.0,107.1,20,7,4,17,0,0,1,1,0,1,Graduate
141.0,125.5,18,8,1,1,0,0,1,1,0,0,Graduate
135.0,127.0,18,6,4,17,0,0,1,1,0,1,Graduate
117.0,113.5,21,4,2,1,0,1,1,1,0,1,Graduate
160.0,154.4,18,7,1,1,0,1,1,1,0,0,Graduate
136.0,122.0,18,2,1,51,1,0,0,1,0,0,Dropout
143.0,128.0,19,0,2,17,0,0,1,1,0,1,Dropout
119.0,115.5,19,4,1,1,0,0,1,1,0,1,Enrolled
120.0,117.2,18,6,4,17,0,0,1,1,0,1,Graduate
150.0,150.0,34,1,1,39,0,0,1,1,0,1,Dropout
142.0,155.3,19,5,3,1,0,0,1,1,0,0,Graduate
120.0,120.0,19,5,1,44,1,0,0,1,0,1,Dropout
160.0,116.1,26,6,1,51,1,0,1,1,0,0,Graduate
133.1,118.9,21,3,1,17,0,0,1,1,0,1,Dropout
142.0,127.3,18,5,2,17,0,1,1,1,0,0,Graduate
121.0,113.7,20,5,4,17,0,1,1,1,0,1,Graduate
135.0,118.5,25,2,1,51,0,0,1,1,0,0,Dropout
153.0,146.7,18,5,1,1,0,0,1,1,0,0,Graduate
140.0,124.3,18,7,1,1,0,1,1,1,0,1,Graduate
152.0,137.8,19,7,1,1,0,0,1,1,0,0,Graduate
120.0,130.2,18,6,1,1,0,1,1,1,0,0,Graduate
160.0,147.8,20,6,1,17,0,0,1,1,0,0,Enrolled
150.0,150.0,26,0,1,7,1,0,0,1,0,0,Dropout
100.0,100.0,19,7,1,42,0,1,1,1,0,1,Graduate
150.0,155.6,19,7,1,1,0,0,1,1,0,0,Graduate
124.0,117.4,19,5,4,43,0,0,1,1,0,0,Graduate
141.0,128.8,19,3,3,5,0,0,1,1,0,1,Enrolled
121.0,117.5,18,6,1,1,0,0,1,1,0,1,Graduate
134.0,120.4,19,6,1,43,0,0,1,1,0,1,Graduate
134.0,130.9,18,6,1,1,1,0,1,1,0,0,Graduate
132.0,125.0,18,5,1,1,0,0,1,1,0,1,Enrolled
135.0,136.8,18,5,1,1,0,0,1,1,0,1,Enrolled
123.0,121.6,18,5,1,1,0,0,1,1,0,1,Enrolled
151.0,151.0,26,0,1,44,1,0,1,1,0,0,Dropout
107.0,103.5,20,6,1,1,0,0,1,1,0,1,Graduate
126.0,119.4,19,6,1,1,0,0,1,0,0,0,Graduate
133.0,134.4,18,6,1,1,0,1,1,1,0,1,Graduate
140.0,143.0,19,6,1,44,0,0,1,1,0,0,Graduate
110.0,110.0,40,7,1,7,1,0,1,1,0,0,Graduate
141.0,132.5,18,8,4,1,0,1,1,1,0,1,Graduate
122.0,114.7,19,5,1,17,0,0,1,1,0,0,Graduate
156.0,166.9,18,4,1,17,0,0,1,1,0,0,Graduate
129.0,125.9,19,4,1,1,0,0,1,1,0,1,Enrolled
188.0,178.3,18,0,1,1,0,0,1,1,0,1,Dropout
120.0,117.0,33,6,1,39,0,0,1,0,0,1,Graduate
130.0,150.0,35,6,1,39,0,0,1,1,0,0,Graduate
130.0,130.0,26,4,1,42,0,0,1,1,0,1,Enrolled
140.0,135.1,18,6,1,1,0,0,1,1,0,1,Graduate
110.0,110.0,36,13,1,43,0,0,1,1,0,0,Enrolled
133.1,136.2,39,5,1,39,0,0,1,0,0,0,Graduate
120.0,116.0,44,6,1,39,0,0,1,1,0,0,Graduate
96.0,100.0,20,5,2,1,0,0,1,0,0,0,Enrolled
117.0,116.3,24,4,1,1,0,0,1,1,0,1,Dropout
123.0,134.0,20,6,1,43,0,1,1,1,0,0,Graduate
127.0,124.2,19,0,4,1,0,0,0,1,0,1,Dropout
151.0,134.5,18,6,1,1,1,1,1,1,0,0,Graduate
127.0,120.7,22,5,1,1,1,0,0,1,0,0,Dropout
133.0,127.1,18,6,1,17,0,0,1,1,0,1,Graduate
133.1,133.0,24,6,1,39,0,0,1,1,0,0,Graduate
133.1,128.2,33,0,1,39,0,0,1,0,0,0,Dropout
133.1,130.0,30,0,1,39,1,1,1,1,0,0,Enrolled
160.0,172.0,26,0,1,39,0,0,1,1,0,0,Dropout
140.0,128.5,18,6,4,17,0,0,1,1,0,1,Graduate
146.0,128.5,19,3,1,1,1,0,1,1,0,0,Dropout
112.0,112.0,20,3,4,17,0,0,1,1,0,1,Enrolled
140.0,142.5,22,8,1,53,0,1,1,1,0,1,Graduate
136.0,133.0,19,5,4,1,0,0,1,1,0,1,Enrolled
133.1,106.0,21,6,1,1,0,1,1,1,0,1,Graduate
136.0,125.5,21,6,4,1,0,1,1,1,0,1,Graduate
134.0,131.2,19,1,1,17,0,0,1,1,0,0,Enrolled
122.0,112.9,19,7,1,1,0,1,1,1,0,1,Graduate
138.0,124.8,18,7,6,1,0,0,1,1,0,1,Dropout
160.0,140.9,50,11,1,43,0,0,1,0,0,0,Graduate
130.0,148.0,31,4,1,39,0,1,1,0,0,0,Enrolled
161.0,148.4,19,6,1,17,0,1,1,1,0,0,Graduate
140.0,129.7,35,5,1,39,0,0,1,0,0,0,Graduate
133.1,128.2,31,0,1,39,0,0,1,1,0,0,Dropout
133.1,104.0,42,10,1,51,1,0,1,0,0,0,Enrolled
130.0,119.9,34,0,4,18,0,0,0,1,0,1,Dropout
152.0,141.0,18,7,1,1,0,1,1,1,0,1,Graduate
125.0,116.6,18,7,1,17,0,1,0,1,0,1,Enrolled
140.0,140.0,21,5,1,44,0,0,1,1,0,1,Enrolled
133.1,140.0,26,5,1,39,0,1,1,1,0,0,Dropout
170.0,100.0,20,6,1,43,0,0,1,1,0,0,Enrolled
135.0,121.0,19,3,1,1,0,0,1,1,0,0,Enrolled
125.0,117.0,19,6,1,1,0,1,1,1,0,0,Graduate
140.0,140.2,20,9,1,53,0,0,1,1,0,0,Graduate
124.0,129.3,19,6,1,1,0,0,1,1,0,0,Graduate
140.0,145.3,18,6,1,1,0,0,1,1,0,0,Graduate
130.0,146.2,28,11,1,39,0,0,1,0,0,0,Graduate
134.0,122.5,22,5,1,17,0,0,1,1,0,1,Enrolled
160.0,156.1,21,6,1,44,0,1,1,0,0,0,Graduate
140.0,140.0,21,4,1,44,0,0,1,1,0,1,Enrolled
150.0,140.0,26,5,1,39,0,0,1,1,0,0,Enrolled
141.0,128.4,18,5,6,1,1,0,0,1,0,1,Dropout
120.0,115.0,20,2,2,17,0,0,0,1,0,0,Dropout
166.0,158.7,18,6,2,17,0,0,1,1,0,0,Graduate
147.0,124.5,19,7,4,1,0,1,1,1,0,1,Graduate
121.0,111.9,20,11,1,51,0,0,1,1,0,1,Graduate
150.0,150.0,22,6,1,44,0,1,1,1,0,1,Graduate
124.0,114.2,18,5,1,17,1,0,1,1,0,1,Dropout
96.0,96.0,19,3,1,17,0,0,1,1,0,1,Dropout
125.0,128.9,18,5,4,17,0,1,1,1,0,0,Enrolled
136.0,121.7,20,3,1,17,0,0,1,1,0,1,Enrolled
120.0,114.8,19,4,1,1,0,0,1,1,0,1,Enrolled
128.0,127.0,19,6,1,1,0,0,1,1,0,0,Enrolled
142.0,131.3,19,7,1,17,0,0,1,1,0,1,Graduate
135.0,137.1,18,0,1,1,0,0,1,1,0,1,Graduate
120.0,120.0,21,13,1,7,0,0,1,1,0,1,Graduate
140.0,139.0,27,5,1,39,0,0,1,0,0,0,Graduate
135.0,129.1,19,6,1,17,0,0,1,1,0,0,Graduate
133.1,128.2,25,0,1,39,0,0,1,1,0,0,Dropout
137.0,120.8,18,7,2,1,0,1,1,1,0,1,Graduate
122.0,135.8,24,7,1,39,0,0,1,1,0,0,Graduate
128.0,118.9,20,7,3,1,0,0,1,1,0,1,Graduate
140.0,140.0,26,5,1,7,0,0,1,0,0,0,Graduate
132.0,127.1,20,6,1,1,0,1,1,1,0,1,Graduate
